Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""1-Login/Just Logout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 13:59:49,2023-08-02 14:00:50,"1m - 1,639s",PASSED
,,,,,,,
Test Cases/Smoke Testing/Basic Flow Check/Dropbox Flow Check,Chrome 115.0.0.0,,,2023-08-02 14:00:50,2023-08-02 14:03:24,"2m - 33,241s",PASSED
"callTestCase(findTestCase(""1-Login/Login_WithoutLogout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 14:00:51,2023-08-02 14:00:59,"8,092s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/li_Flows""))",Chrome 115.0.0.0,,,2023-08-02 14:00:59,2023-08-02 14:01:03,"3,358s",PASSED
"setText(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/input_Active_search-input""), ""dropbox"")",Chrome 115.0.0.0,,,2023-08-02 14:01:03,2023-08-02 14:01:05,"2,458s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/td_Dropbox Basic Flow  v5""))",Chrome 115.0.0.0,,,2023-08-02 14:01:05,2023-08-02 14:01:11,"5,781s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/div_Search Files On Dropbox""))",Chrome 115.0.0.0,,,2023-08-02 14:01:11,2023-08-02 14:01:14,"3,414s",PASSED
"click(findTestObject(""Object Repository/Page_OneTeg  Simplified Integration/button_Apps Get all respository apps (GET)__1baa0f""))",Chrome 115.0.0.0,,,2023-08-02 14:01:14,2023-08-02 14:01:16,"2,073s",PASSED
"verifyElementPresent(findTestObject(""Page_OneTeg  Simplified Integration/Dropbox Flow - Process completed""), 0)",Chrome 115.0.0.0,,,2023-08-02 14:01:16,2023-08-02 14:01:48,"31,998s",PASSED
"click(findTestObject(""Page_OneTeg  Simplified Integration/li_Activities""))",Chrome 115.0.0.0,,,2023-08-02 14:01:48,2023-08-02 14:02:19,"30,316s",PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-02 14:02:19,2023-08-02 14:02:22,"3,014s",PASSED
"callTestCase(findTestCase(""1-Login/Just Logout""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-02 14:02:22,2023-08-02 14:03:24,"1m - 1,897s",PASSED
